DATE,REQUIREMENT/DEMAND (MW),PRICE ($/MWh),YEAR,MONTH,DATASET
1/1/2015,4667.115979,109.5810417,2015,1,Demand & USEP
2/1/2015,5241.775438,80.23354167,2015,1,Demand & USEP
3/1/2015,4926.064063,94.91770833,2015,1,Demand & USEP
4/1/2015,4774.617042,83.46041667,2015,1,Demand & USEP
5/1/2015,5470.171,79.29479167,2015,1,Demand & USEP
6/1/2015,5536.508083,79.89979167,2015,1,Demand & USEP
7/1/2015,5533.105292,79.38729167,2015,1,Demand & USEP
8/1/2015,5490.983833,86.03291667,2015,1,Demand & USEP
9/1/2015,5396.284771,74.359375,2015,1,Demand & USEP
10/1/2015,5011.442083,108.7685417,2015,1,Demand & USEP
11/1/2015,4825.059062,79.74708333,2015,1,Demand & USEP
12/1/2015,5487.153708,80.32833333,2015,1,Demand & USEP
13/1/2015,5557.179271,77.765,2015,1,Demand & USEP
14/1/2015,5541.861313,78.99020833,2015,1,Demand & USEP
15/1/2015,5564.249083,77.38666667,2015,1,Demand & USEP
16/1/2015,5525.284521,70.91416667,2015,1,Demand & USEP
17/1/2015,5067.471625,125.2429167,2015,1,Demand & USEP
18/1/2015,4888.122375,169.9604167,2015,1,Demand & USEP
19/1/2015,5510.488187,72.11833333,2015,1,Demand & USEP
20/1/2015,5557.346604,74.88541667,2015,1,Demand & USEP
21/1/2015,5535.073229,73.88791667,2015,1,Demand & USEP
22/1/2015,5525.163542,78.82916667,2015,1,Demand & USEP
23/1/2015,5542.694,82.706875,2015,1,Demand & USEP
24/1/2015,5100.340104,118.42125,2015,1,Demand & USEP
25/1/2015,4901.293958,90.014375,2015,1,Demand & USEP
26/1/2015,5492.642438,84.97395833,2015,1,Demand & USEP
27/1/2015,5567.133375,102.156875,2015,1,Demand & USEP
28/1/2015,5551.477,89.85125,2015,1,Demand & USEP
29/1/2015,5561.808104,101.414375,2015,1,Demand & USEP
30/1/2015,5581.467396,96.04625,2015,1,Demand & USEP
31/1/2015,5172.871438,107.7777083,2015,1,Demand & USEP
1/2/2015,4923.605646,104.3379167,2015,2,Demand & USEP
2/2/2015,5499.301979,108.9045833,2015,2,Demand & USEP
3/2/2015,5539.812646,107.1579167,2015,2,Demand & USEP
4/2/2015,5526.766021,88.75354167,2015,2,Demand & USEP
5/2/2015,5540.85,103.578125,2015,2,Demand & USEP
6/2/2015,5505.870583,100.4277083,2015,2,Demand & USEP
7/2/2015,5093.244062,106.0920833,2015,2,Demand & USEP
8/2/2015,4879.922042,82.689375,2015,2,Demand & USEP
9/2/2015,5472.439229,78.655625,2015,2,Demand & USEP
10/2/2015,5507.900188,78.06875,2015,2,Demand & USEP
11/2/2015,5509.843875,83.76270833,2015,2,Demand & USEP
12/2/2015,5510.951583,78.88604167,2015,2,Demand & USEP
13/2/2015,5521.628042,81.773125,2015,2,Demand & USEP
14/2/2015,5142.032979,85.11583333,2015,2,Demand & USEP
15/2/2015,4962.067354,90.41708333,2015,2,Demand & USEP
16/2/2015,5542.254542,134.19875,2015,2,Demand & USEP
17/2/2015,5514.847292,81.34333333,2015,2,Demand & USEP
18/2/2015,5056.464479,86.29270833,2015,2,Demand & USEP
19/2/2015,4590.620792,100.0604167,2015,2,Demand & USEP
20/2/2015,4602.583,99.41208333,2015,2,Demand & USEP
21/2/2015,4767.23075,103.45625,2015,2,Demand & USEP
22/2/2015,4757.288125,99.40083333,2015,2,Demand & USEP
23/2/2015,5465.281813,102.9970833,2015,2,Demand & USEP
24/2/2015,5526.137646,88.41708333,2015,2,Demand & USEP
25/2/2015,5552.423896,77.30333333,2015,2,Demand & USEP
26/2/2015,5577.682833,84.12979167,2015,2,Demand & USEP
27/2/2015,5605.385292,83.13916667,2015,2,Demand & USEP
28/2/2015,5227.84575,93.36145833,2015,2,Demand & USEP
1/3/2015,5059.272667,87.72958333,2015,3,Demand & USEP
2/3/2015,5633.266292,76.023125,2015,3,Demand & USEP
3/3/2015,5677.885771,76.609375,2015,3,Demand & USEP
4/3/2015,5700.717208,78.93354167,2015,3,Demand & USEP
5/3/2015,5704.17275,81.11979167,2015,3,Demand & USEP
6/3/2015,5693.330167,90.17479167,2015,3,Demand & USEP
7/3/2015,5265.049729,88.145625,2015,3,Demand & USEP
8/3/2015,5106.693667,89.82145833,2015,3,Demand & USEP
9/3/2015,5688.103604,81.740625,2015,3,Demand & USEP
10/3/2015,5701.591167,81.005,2015,3,Demand & USEP
11/3/2015,5625.821833,80.71333333,2015,3,Demand & USEP
12/3/2015,5589.620125,78.23604167,2015,3,Demand & USEP
13/3/2015,5573.221938,79.15520833,2015,3,Demand & USEP
14/3/2015,5252.488208,81.30270833,2015,3,Demand & USEP
15/3/2015,5037.934333,82.50958333,2015,3,Demand & USEP
16/3/2015,5645.260313,79.51479167,2015,3,Demand & USEP
17/3/2015,5682.938021,78.985,2015,3,Demand & USEP
18/3/2015,5701.212167,78.98895833,2015,3,Demand & USEP
19/3/2015,5711.168813,81.708125,2015,3,Demand & USEP
20/3/2015,5684.981833,81.80875,2015,3,Demand & USEP
21/3/2015,5330.963646,83.12625,2015,3,Demand & USEP
22/3/2015,5096.954458,89.61125,2015,3,Demand & USEP
23/3/2015,5670.816479,79.09354167,2015,3,Demand & USEP
24/3/2015,5704.896229,78.06166667,2015,3,Demand & USEP
25/3/2015,5717.770875,83.956875,2015,3,Demand & USEP
26/3/2015,5742.02325,80.06854167,2015,3,Demand & USEP
27/3/2015,5733.465083,81.11833333,2015,3,Demand & USEP
28/3/2015,5349.785562,83.29875,2015,3,Demand & USEP
29/3/2015,5083.292229,77.445625,2015,3,Demand & USEP
30/3/2015,5680.805979,81.14020833,2015,3,Demand & USEP
31/3/2015,5749.249396,82.23916667,2015,3,Demand & USEP
1/4/2015,5706.338958,77.98479167,2015,4,Demand & USEP
2/4/2015,5662.432958,79.2375,2015,4,Demand & USEP
3/4/2015,5050.531708,78.539375,2015,4,Demand & USEP
4/4/2015,5219.645042,80.158125,2015,4,Demand & USEP
5/4/2015,5052.239875,82.14791667,2015,4,Demand & USEP
6/4/2015,5693.360875,103.3358333,2015,4,Demand & USEP
7/4/2015,5784.963563,97.76104167,2015,4,Demand & USEP
8/4/2015,5838.790104,238.9977083,2015,4,Demand & USEP
9/4/2015,5823.556687,189.3302083,2015,4,Demand & USEP
10/4/2015,5851.841813,191.548125,2015,4,Demand & USEP
11/4/2015,5384.126458,90.44854167,2015,4,Demand & USEP
12/4/2015,5154.065687,79.245625,2015,4,Demand & USEP
13/4/2015,5792.522208,92.97541667,2015,4,Demand & USEP
14/4/2015,5824.662604,92.37166667,2015,4,Demand & USEP
15/4/2015,5824.695167,84.451875,2015,4,Demand & USEP
16/4/2015,5831.861063,86.785625,2015,4,Demand & USEP
17/4/2015,5887.304271,93.93,2015,4,Demand & USEP
18/4/2015,5486.420646,87.28,2015,4,Demand & USEP
19/4/2015,5211.622125,83.27708333,2015,4,Demand & USEP
20/4/2015,5826.112188,88.379375,2015,4,Demand & USEP
21/4/2015,5869.169771,90.19833333,2015,4,Demand & USEP
22/4/2015,5824.002146,85.894375,2015,4,Demand & USEP
23/4/2015,5831.617708,86.20958333,2015,4,Demand & USEP
24/4/2015,5765.608667,90.46270833,2015,4,Demand & USEP
25/4/2015,5328.205125,84.25625,2015,4,Demand & USEP
26/4/2015,5088.989,90.01104167,2015,4,Demand & USEP
27/4/2015,5690.17125,78.889375,2015,4,Demand & USEP
28/4/2015,5733.133917,79.156875,2015,4,Demand & USEP
29/4/2015,5738.957521,79.23916667,2015,4,Demand & USEP
30/4/2015,5685.561562,80.34791667,2015,4,Demand & USEP
1/5/2015,5015.786771,83.52895833,2015,5,Demand & USEP
2/5/2015,5193.510396,79.79375,2015,5,Demand & USEP
3/5/2015,5009.44025,87.37854167,2015,5,Demand & USEP
4/5/2015,5615.145563,82.81770833,2015,5,Demand & USEP
5/5/2015,5738.206979,91.959375,2015,5,Demand & USEP
6/5/2015,5762.469313,104.5710417,2015,5,Demand & USEP
7/5/2015,5782.278688,186.1258333,2015,5,Demand & USEP
8/5/2015,5787.169687,98.33791667,2015,5,Demand & USEP
9/5/2015,5351.923438,103.5058333,2015,5,Demand & USEP
10/5/2015,5193.377375,100.9702083,2015,5,Demand & USEP
11/5/2015,5831.031917,100.865,2015,5,Demand & USEP
12/5/2015,5868.376583,95.694375,2015,5,Demand & USEP
13/5/2015,5830.657542,93.99458333,2015,5,Demand & USEP
14/5/2015,5800.858583,92.30229167,2015,5,Demand & USEP
15/5/2015,5726.109125,85.87645833,2015,5,Demand & USEP
16/5/2015,5339.407312,102.1825,2015,5,Demand & USEP
17/5/2015,5156.756771,99.72416667,2015,5,Demand & USEP
18/5/2015,5756.049208,90.03729167,2015,5,Demand & USEP
19/5/2015,5879.986563,101.975,2015,5,Demand & USEP
20/5/2015,5840.701,95.995625,2015,5,Demand & USEP
